STATION,hour,HourlyWindDirection,HourlyWindSpeed,horizontal_wind,vertical_wind
72641014837,0,91.44927536231884,3.782608695652174,-0.09566947283443154,3.781398669327399
72641014837,1,83.33333333333333,3.0,0.3482787423756909,2.979715073225829
72641014837,2,99.48717948717949,3.5641025641025643,-0.5874600136552756,3.515354579526597
72641014837,3,68.75,3.125,1.1326188696365678,2.912524591508745
72641014837,4,87.90697674418605,2.9767441860465116,0.10871671979954263,2.9747582463114104
72641014837,5,91.51515151515152,4.575757575757576,-0.12098898152085673,4.5741577430663005
72641014837,6,132.4561403508772,4.649122807017544,-3.138277039679755,3.430096222695445
72641014837,7,177.41935483870967,6.32258064516129,-6.316168515701332,0.2846775295512318
72641014837,8,190.9375,6.46875,-6.351243472481566,-1.2273682885590176
72641014837,9,163.33333333333334,7.0,-6.705926586208422,2.0076226289776313
72641014837,10,162.94117647058823,7.4411764705882355,-7.1137950989414,2.1828940782166493
72641014837,11,172.75862068965517,7.793103448275862,-7.730945080622779,0.9823184391650144
72641014837,12,179.58333333333334,8.104166666666666,-8.10395237331077,0.05893464364720722
72641014837,13,183.84615384615384,7.923076923076923,-7.9052322405468765,-0.53146133632871
72641014837,14,145.0,7.8,-6.389385945454137,4.473896203538159
72641014837,15,171.875,8.0,-7.919696669718463,1.1306655825885414
72641014837,16,164.51612903225808,7.967741935483871,-7.678557872284368,2.1271249498908196
72641014837,17,202.0,7.571428571428571,-7.020106327434247,-2.836307064434762
72641014837,18,167.69230769230768,6.015384615384615,-5.877132820241699,1.2822487606715658
72641014837,19,100.0,4.9411764705882355,-0.8580262896483616,4.866108897236793
72641014837,20,90.58823529411765,4.823529411764706,-0.04952058286986924,4.82327520446754
72641014837,21,80.83333333333333,5.583333333333333,0.8894633467103346,5.512029214905338
72641014837,22,93.33333333333333,4.090909090909091,-0.23786520917921908,4.083987920200642
72641014837,23,112.3529411764706,4.764705882352941,-1.8120695309109165,4.40667972065965
