station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueBuildingfraction,beg_time
KWIFITCH21,0,42.997337,-89.439064,19.93103448275862,19.862068965517242,20.85993705796758,19.93103448275862,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,0.6583088816752465,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,1,42.997337,-89.439064,19.344827586206897,19.275862068965516,20.338973300395924,19.379310344827587,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,0.9022298042653096,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,2,42.997337,-89.439064,18.655172413793103,18.620689655172413,19.886975060065648,18.689655172413794,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,1.1461507268553728,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,3,42.997337,-89.439064,18.103448275862068,18.20689655172414,19.503942336976753,18.24137931034483,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,1.159072933533408,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,4,42.997337,-89.439064,17.82758620689655,18.0,19.258840648370615,17.96551724137931,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,1.1719951402114432,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,5,42.997337,-89.439064,17.482758620689655,17.620689655172413,19.048221718385165,17.724137931034484,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,1.009064991642365,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,6,42.997337,-89.439064,17.96551724137931,18.689655172413794,19.458292443572127,18.24137931034483,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,0.8566143221028817,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,7,42.997337,-89.439064,19.344827586206897,20.93103448275862,20.38560454806944,19.655172413793103,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,0.9313848892154101,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,8,42.997337,-89.439064,20.862068965517242,22.586206896551722,21.830158031877094,20.896551724137932,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,0.7498856963953386,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
KWIFITCH21,9,42.997337,-89.439064,22.689655172413794,24.20689655172414,23.585056343270956,22.482758620689655,0.00820581141630644,0.01079503710044506,0.012079927152102795,166.0,0.8598454630201111,38.0,27.571428571428577,0.0,803.621906839,0.0,24.3175,2021-06-01
