station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,humidityAvg,windspeed,dewpt,heatindex,precipRate,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueLandcover,valueBuildingfraction,beg_time
KWIFITCH21,0,42.997337,-89.439064,19.689655172413794,19.79310344827586,21.310344827586206,19.96551724137931,0.00820581141630644,0.01079503710044506,0.012079927152102795,94.96551724137932,1.896551724137931,18.79310344827586,20.413793103448278,0.03482758620689655,196.0,0.6583088816752465,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,1,42.997337,-89.439064,18.82758620689655,19.06896551724138,21.103448275862068,19.03448275862069,0.00820581141630644,0.01079503710044506,0.012079927152102795,96.3103448275862,1.896551724137931,18.379310344827587,19.689655172413794,0.4375862068965517,196.0,0.9022298042653096,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,2,42.997337,-89.439064,18.344827586206897,18.724137931034484,20.82758620689655,18.517241379310345,0.00820581141630644,0.01079503710044506,0.012079927152102795,97.06896551724138,2.1379310344827585,17.896551724137932,18.75862068965517,1.2962068965517242,196.0,1.1461507268553728,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,3,42.997337,-89.439064,18.06896551724138,18.275862068965516,20.689655172413794,18.344827586206897,0.00820581141630644,0.01079503710044506,0.012079927152102795,97.55172413793103,1.9655172413793103,17.482758620689655,18.482758620689655,1.2962068965517242,196.0,1.159072933533408,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,4,42.997337,-89.439064,17.689655172413794,18.06896551724138,20.551724137931036,18.137931034482758,0.00820581141630644,0.01079503710044506,0.012079927152102795,97.96551724137932,2.2413793103448274,17.275862068965516,17.96551724137931,1.2962068965517242,196.0,1.1719951402114432,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,5,42.997337,-89.439064,17.551724137931036,17.862068965517242,20.413793103448278,17.896551724137932,0.00820581141630644,0.01079503710044506,0.012079927152102795,98.20689655172414,2.4482758620689653,17.20689655172414,17.896551724137932,1.3048275862068968,196.0,1.009064991642365,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,6,42.997337,-89.439064,17.862068965517242,18.551724137931036,20.482758620689655,18.310344827586206,0.00820581141630644,0.01079503710044506,0.012079927152102795,98.10344827586206,2.6206896551724137,17.517241379310345,18.413793103448278,1.3048275862068968,196.0,0.8566143221028817,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,7,42.997337,-89.439064,19.0,20.344827586206897,20.896551724137932,19.482758620689655,0.00820581141630644,0.01079503710044506,0.012079927152102795,96.3103448275862,2.8620689655172415,18.413793103448278,20.103448275862068,1.3048275862068968,196.0,0.9313848892154101,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,8,42.997337,-89.439064,20.724137931034484,22.275862068965516,21.551724137931036,20.82758620689655,0.00820581141630644,0.01079503710044506,0.012079927152102795,92.48275862068965,3.310344827586207,19.413793103448278,22.03448275862069,1.3048275862068968,196.0,0.7498856963953386,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
KWIFITCH21,9,42.997337,-89.439064,22.413793103448278,23.82758620689655,22.103448275862068,22.137931034482758,0.00820581141630644,0.01079503710044506,0.012079927152102795,86.65517241379311,3.586206896551724,20.0,24.482758620689655,1.3048275862068968,196.0,0.8598454630201111,38.0,27.571428571428577,0.0,803.621906839,0.0,22.0,24.3175,2021-07-01
