hour,latitude,longitude,temperature
21,-90119.22539615234,645423.2755265934,22.032258064516128
22,-90119.22539615234,645423.2755265934,21.161290322580644
23,-90119.22539615234,645423.2755265934,20.35483870967742
0,-89999.2253316457,642417.8800279838,19.548387096774192
1,-89999.2253316457,642417.8800279838,18.838709677419356
2,-89999.2253316457,642417.8800279838,18.161290322580644
3,-89999.2253316457,642417.8800279838,17.866666666666667
4,-89999.2253316457,642417.8800279838,17.612903225806452
5,-89999.2253316457,642417.8800279838,17.451612903225808
6,-89999.2253316457,642417.8800279838,17.70967741935484
7,-89999.2253316457,642417.8800279838,18.93548387096774
8,-89999.2253316457,642417.8800279838,20.29032258064516
9,-89999.2253316457,642417.8800279838,21.741935483870968
10,-89999.2253316457,642417.8800279838,23.016129032258064
11,-89999.2253316457,642417.8800279838,24.21505376344086
12,-89999.2253316457,642417.8800279838,25.301075268817204
13,-89999.2253316457,642417.8800279838,25.838709677419356
14,-89999.2253316457,642417.8800279838,26.096774193548388
15,-89999.2253316457,642417.8800279838,26.5
16,-89999.2253316457,642417.8800279838,26.483870967741936
17,-89999.2253316457,642417.8800279838,26.032258064516128
18,-89999.2253316457,642417.8800279838,25.419354838709676
19,-89999.2253316457,642417.8800279838,24.419354838709676
20,-89999.2253316457,642417.8800279838,23.032258064516128
21,-89999.2253316457,642417.8800279838,21.774193548387096
22,-89999.2253316457,642417.8800279838,21.0
23,-89999.2253316457,642417.8800279838,20.161290322580644
0,-91879.71132092462,645966.8069199387,19.64516129032258
1,-91879.71132092462,645966.8069199387,18.967741935483872
2,-91879.71132092462,645966.8069199387,18.612903225806452
3,-91879.71132092462,645966.8069199387,18.161290322580644
4,-91879.71132092462,645966.8069199387,17.93548387096774
5,-91879.71132092462,645966.8069199387,17.70967741935484
6,-91879.71132092462,645966.8069199387,18.35483870967742
7,-91879.71132092462,645966.8069199387,20.129032258064516
8,-91879.71132092462,645966.8069199387,22.06451612903226
9,-91879.71132092462,645966.8069199387,23.677419354838708
10,-91879.71132092462,645966.8069199387,24.806451612903224
11,-91879.71132092462,645966.8069199387,25.93548387096774
12,-91879.71132092462,645966.8069199387,26.774193548387096
13,-91879.71132092462,645966.8069199387,27.29032258064516
