hour,old_temperature
0,19.980701834679287
1,19.424656693611915
2,18.879024020500125
3,18.45946921928915
4,18.10470078111049
5,17.864494401749972
6,17.844883170667014
7,19.083785633213207
8,21.219820941969303
9,23.200327201022986
10,24.708858664523827
11,26.018672953222172
12,27.06289655920711
13,27.70715752481682
14,27.969034557416688
15,27.954697956963614
16,27.76606522815485
17,27.338094226608852
18,26.2438419870687
19,24.726774843466547
20,23.080937947505234
21,21.983308538801253
22,21.190483765346496
23,20.505169756902433
