station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueBuildingfraction,beg_time
KWISUNPR29,22,43.165916,-89.28373,21.322580645161292,21.322580645161292,21.032258064516128,19.70967741935484,0.0,0.003789981002592073,0.0070085825243043414,228.0,2.3295700693365866,46.75,0.0,0.0,584.616490749,0.0,20.9345,2021-08-24 10:00:00
KWISUNPR29,23,43.165916,-89.28373,20.516129032258064,20.516129032258064,20.29032258064516,19.193548387096776,0.0,0.003789981002592073,0.0070085825243043414,228.0,1.3372728088392412,46.75,0.0,0.0,584.616490749,0.0,20.9345,2021-08-24 10:00:00
KWISUNPR42,0,43.178814,-89.281029,20.516129032258064,19.774193548387096,18.580645161290324,19.903225806451612,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,0.7049755483419098,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,1,43.178814,-89.281029,20.06451612903226,19.322580645161292,18.129032258064516,19.193548387096776,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,0.940563137598656,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,2,43.178814,-89.281029,19.451612903225808,18.741935483870968,17.548387096774192,18.70967741935484,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.1761507268554023,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,3,43.178814,-89.281029,19.225806451612904,18.483870967741936,17.258064516129032,18.258064516129032,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,0.3840729335334307,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,4,43.178814,-89.281029,18.774193548387096,18.322580645161292,17.129032258064516,17.903225806451612,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,-0.4080048597885408,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,5,43.178814,-89.281029,18.387096774193548,18.06451612903226,16.838709677419356,17.548387096774192,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,0.7290649916423552,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,6,43.178814,-89.281029,18.451612903225808,17.838709677419356,17.032258064516128,17.677419354838708,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,0.6766143221028749,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,7,43.178814,-89.281029,19.903225806451612,18.903225806451612,18.677419354838708,19.967741935483872,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.491384889215432,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,8,43.178814,-89.281029,21.677419354838708,20.64516129032258,21.838709677419356,22.451612903225808,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,2.652385696395342,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,9,43.178814,-89.281029,23.741935483870968,22.806451612903224,23.741935483870968,23.93548387096774,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,4.299845463020109,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,10,43.178814,-89.281029,25.129032258064516,24.451612903225808,25.096774193548388,25.29032258064516,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,4.663198371542645,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,11,43.178814,-89.281029,26.483870967741936,25.677419354838708,26.548387096774192,26.29032258064516,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,8.92390501942662,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,12,43.178814,-89.281029,27.451612903225808,26.548387096774192,27.516129032258064,27.129032258064516,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,6.417193335858614,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,13,43.178814,-89.281029,27.766666666666666,27.0,28.0,27.6,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.16666666666666,6.368832204974774,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,14,43.178814,-89.281029,28.193548387096776,27.193548387096776,28.35483870967742,28.258064516129032,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,6.320471074090936,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,15,43.178814,-89.281029,28.096774193548388,27.20967741935484,28.193548387096776,28.306451612903224,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,4.422455415440787,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,16,43.178814,-89.281029,27.870967741935484,26.774193548387096,28.225806451612904,28.35483870967742,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,5.535900527094115,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,17,43.178814,-89.281029,27.580645161290324,26.29032258064516,28.06451612903226,27.903225806451612,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,3.431147737070916,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,18,43.178814,-89.281029,26.612903225806452,25.193548387096776,28.06451612903226,27.419354838709676,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.3263949470477172,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,19,43.178814,-89.281029,25.29032258064516,23.838709677419356,25.129032258064516,25.516129032258064,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.8102156453938392,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,20,43.178814,-89.281029,23.741935483870968,22.096774193548388,21.774193548387096,23.838709677419356,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.2264283492349364,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,21,43.178814,-89.281029,22.612903225806452,21.419354838709676,20.29032258064516,22.258064516129032,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.604749541662475,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,22,43.178814,-89.281029,22.06451612903226,20.903225806451612,19.70967741935484,21.322580645161292,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.729570069336621,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR42,23,43.178814,-89.281029,21.29032258064516,20.29032258064516,19.193548387096776,20.516129032258064,0.009401991118909292,0.010817849046829473,0.013177776936949805,228.0,1.217272808839265,48.0,0.0,0.0,738.53546251,0.0,23.5366,2021-08-24 10:00:00
KWISUNPR63,0,43.162998,-89.261002,20.774193548387096,19.903225806451612,19.677419354838708,20.516129032258064,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,0.6516422150085681,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,1,43.162998,-89.261002,20.096774193548388,19.193548387096776,19.193548387096776,20.06451612903226,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,1.1938964709319722,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,2,43.162998,-89.261002,19.548387096774192,18.70967741935484,18.612903225806452,19.451612903225808,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,1.7361507268553762,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,3,43.162998,-89.261002,19.322580645161292,18.258064516129032,18.193548387096776,19.225806451612904,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,0.8240729335334143,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,4,43.162998,-89.261002,18.838709677419356,17.903225806451612,17.870967741935484,18.774193548387096,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,-0.0880048597885476,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,5,43.162998,-89.261002,18.516129032258064,17.548387096774192,17.580645161290324,18.387096774193548,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,0.5757316583090083,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,6,43.162998,-89.261002,18.35483870967742,17.677419354838708,17.70967741935484,18.451612903225808,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,0.4866143221028771,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,7,43.162998,-89.261002,19.903225806451612,19.967741935483872,19.483870967741936,19.903225806451612,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,1.224718222548761,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,8,43.162998,-89.261002,21.870967741935484,22.451612903225808,21.612903225806452,21.677419354838708,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,2.4398856963953364,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,9,43.162998,-89.261002,23.548387096774192,23.93548387096774,23.322580645161292,23.741935483870968,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,3.959845463020077,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,10,43.162998,-89.261002,24.612903225806452,25.29032258064516,24.677419354838708,25.129032258064516,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,6.0431983715426405,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,11,43.162998,-89.261002,25.70967741935484,26.29032258064516,25.967741935483872,26.483870967741936,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,8.943905019426658,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,12,43.162998,-89.261002,26.322580645161292,27.129032258064516,27.193548387096776,27.451612903225808,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,7.417193335858614,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,13,43.162998,-89.261002,26.766666666666666,27.6,28.4,27.766666666666666,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.16666666666666,6.76883220497478,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,14,43.162998,-89.261002,27.387096774193548,28.258064516129032,29.774193548387096,28.193548387096776,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,6.120471074090947,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,15,43.162998,-89.261002,27.419354838709676,28.306451612903224,29.903225806451612,28.096774193548388,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,7.2824554154408,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,16,43.162998,-89.261002,27.35483870967742,28.35483870967742,28.741935483870968,27.870967741935484,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,7.2859005270941415,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,17,43.162998,-89.261002,27.06451612903226,27.903225806451612,27.322580645161292,27.580645161290324,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,4.582814403737581,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,18,43.162998,-89.261002,26.387096774193548,27.419354838709676,26.193548387096776,26.612903225806452,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,1.87972828038102,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
KWISUNPR63,19,43.162998,-89.261002,25.387096774193548,25.516129032258064,24.70967741935484,25.29032258064516,0.022914552319433176,0.022914552319433176,0.025519141541203653,228.0,2.6102156453938505,79.83333333333333,1.5,0.0,640.420166351,0.0,38.5617,2021-08-24 10:00:00
