station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueBuildingfraction,beg_time,delta_temp,old_temperature,t_5,t_4,t_3,t_2,t_1
KWIFITCH21,5,42.997337,-89.439064,-0.2561725817764824,17.620689655172413,19.048221718385165,17.724137931034484,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,1.009064991642365,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,-0.2561725817764824,17.482758620689655,-0.17298738336123876,-0.1350756356915781,-0.09430478881157711,-0.14997236458947327,-0.12232049086025754
KWIFITCH21,6,42.997337,-89.439064,-0.35364590983034105,18.689655172413797,19.458292443572127,18.24137931034483,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.8566143221028817,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,-0.35364590983034105,17.96551724137931,-0.1350756356915781,-0.09430478881157711,-0.14997236458947327,-0.12232049086025754,-0.2561725817764824
KWIFITCH21,7,42.997337,-89.439064,-0.5263123746866682,20.93103448275862,20.38560454806944,19.655172413793103,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.93138488921541,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,-0.5263123746866682,19.344827586206897,-0.09430478881157711,-0.14997236458947327,-0.12232049086025754,-0.2561725817764824,-0.35364590983034105
KWIFITCH21,8,42.997337,-89.439064,-0.649615346905005,22.58620689655172,21.83015803187709,20.89655172413793,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.7498856963953386,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,-0.649615346905005,20.86206896551724,-0.14997236458947327,-0.12232049086025754,-0.2561725817764824,-0.35364590983034105,-0.5263123746866682
KWIFITCH21,9,42.997337,-89.439064,-0.49873797736368886,24.20689655172414,23.58505634327096,22.48275862068965,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.8598454630201111,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,-0.49873797736368886,22.689655172413797,-0.12232049086025754,-0.2561725817764824,-0.35364590983034105,-0.5263123746866682,-0.649615346905005
KWIFITCH21,10,42.997337,-89.439064,0.0585664999419393,25.655172413793103,25.202023620182057,23.724137931034484,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.3131983715426791,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,0.0585664999419393,24.75862068965517,-0.2561725817764824,-0.35364590983034105,-0.5263123746866682,-0.649615346905005,-0.49873797736368886
KWIFITCH21,11,42.997337,-89.439064,1.6912177077377315,26.41379310344828,26.474163310886265,24.724137931034484,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,4.103905019426627,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,1.6912177077377315,27.41379310344828,-0.35364590983034105,-0.5263123746866682,-0.649615346905005,-0.49873797736368886,0.0585664999419393
KWIFITCH21,12,42.997337,-89.439064,2.2966849824114064,27.13793103448276,27.67733748434909,25.13793103448276,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,1.2171933358586244,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,2.2966849824114064,28.724137931034484,-0.5263123746866682,-0.649615346905005,-0.49873797736368886,0.0585664999419393,1.6912177077377315
KWIFITCH21,13,42.997337,-89.439064,2.9160426233478987,27.93103448275862,28.67361510608778,25.96551724137931,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,3.528832204974771,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,2.9160426233478987,30.06896551724138,-0.649615346905005,-0.49873797736368886,0.0585664999419393,1.6912177077377315,2.2966849824114064
KWIFITCH21,14,42.997337,-89.439064,2.8129017231126205,28.0,29.049203072654056,26.24137931034483,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,5.840471074090917,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,2.8129017231126205,30.41379310344828,-0.49873797736368886,0.0585664999419393,1.6912177077377315,2.2966849824114064,2.9160426233478987
KWIFITCH21,15,42.997337,-89.439064,2.7617298715393943,28.13793103448276,29.079963453013438,26.379310344827587,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,1.2024554154408165,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,2.7617298715393943,30.310344827586206,0.0585664999419393,1.6912177077377315,2.2966849824114064,2.9160426233478987,2.8129017231126205
KWIFITCH21,16,42.997337,-89.439064,2.4967947156215224,27.655172413793103,28.66244797130385,26.48275862068965,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.065900527094115,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,2.4967947156215224,29.89655172413793,1.6912177077377315,2.2966849824114064,2.9160426233478987,2.8129017231126205,2.7617298715393943
KWIFITCH21,17,42.997337,-89.439064,2.5482709794702103,27.103448275862068,27.969070420628743,26.310344827586206,0.9918609758807291,0.9893202511842445,0.9880642557687174,166.0,0.5594810704042404,38.0,27.571428571428577,0.0,0.0012428197536014814,0.0,24.3175,2021-06-01,2.5482709794702103,29.620689655172413,2.2966849824114064,2.9160426233478987,2.8129017231126205,2.7617298715393943,2.4967947156215224
